registry,class_subset,feature_group,n_features,mean_feature_std,mean_feature_iqr,mean_nonzero_rate,mean_entropy_q10
NPM,all,file,23,1796.7646447314498,393.70652173913044,0.956669223054687,0.7896225989864998
PyPI,all,file,23,6830.817044111815,5788.836956521739,0.7962657070379329,0.6777815044107317
NPM,all,flags_path_sensitive,13,844.1504800798344,158.9631552512829,0.7230977977246634,0.4331934121620243
PyPI,all,flags_path_sensitive,13,2971.9252922330666,2401.3540704807683,0.6286400166997181,0.4984217882208817
NPM,all,network,18,80.00660798012694,26.103928837511276,0.8652193577566712,0.540041309854619
PyPI,all,network,18,144.8866631295745,14.658877916666723,0.45386702849389415,0.3204158803779355
NPM,all,other,33,3612.040619028832,865.8181818181819,0.8567081945643682,0.6732902005964719
PyPI,all,other,33,2697.6467983555735,2750.378787878788,0.6355413017556845,0.5072475907874844
NPM,all,permission,10,65.62627786138735,7.803314930200576,0.9067842605156038,0.6146620582551422
PyPI,all,permission,10,50.72808057795788,16.551662124999996,0.6027137042062416,0.5437230944529623
NPM,all,process,20,721.4112793439476,179.4,0.5751696065128902,0.42787893173128466
PyPI,all,process,20,2606.61143276202,2251.6625,0.4827340569877883,0.2531015287764701
NPM,all,ratios,12,67.02224321161711,44.46284235836071,1.0,0.9420328395010094
PyPI,all,ratios,12,27.924196326682893,0.0486484769880243,0.948270013568521,0.9003699873745384
NPM,benign,file,23,1918.839385400607,1097.0434782608695,0.9565217391304348,0.8322631292532023
PyPI,benign,file,23,3909.4656733296997,2836.782608695652,0.7945843903014571,0.6916313628136487
NPM,benign,flags_path_sensitive,13,981.3923185575225,563.2327016683726,0.6212295167519049,0.508811571094275
PyPI,benign,flags_path_sensitive,13,1404.120059062711,1174.85353,0.6257175660160735,0.49385655677950635
NPM,benign,network,18,97.80097194226693,88.28474599785275,0.8461480476405849,0.5380195018841776
PyPI,benign,network,18,9.466568119884407,14.65903888888887,0.42409166289763306,0.22372372257129136
NPM,benign,other,33,4282.88762640782,3047.030303030303,0.8550635253484643,0.664464833375447
PyPI,benign,other,33,1579.661245330135,1641.121212121212,0.6309362279511533,0.4738514941163509
NPM,benign,permission,10,77.79118588738682,35.403954482078554,0.9282225237449119,0.7623637904479159
PyPI,benign,permission,10,68.29159719128856,12.955959999999958,0.6081411126187246,0.5832000510254917
NPM,benign,process,20,839.2976163287361,525.9,0.4578018995929444,0.25939046597861964
PyPI,benign,process,20,1350.02525604194,1152.6,0.4806648575305291,0.24834107253184273
NPM,benign,ratios,12,68.48508272048348,66.68525131404338,1.0,0.9127938170603521
PyPI,benign,ratios,12,37.91746212257576,0.03980153694882601,0.9439167797376752,0.8911926847089865
NPM,malicious,file,23,1509.2518562154112,80.82608695652173,0.9568167069789394,0.6554655560921037
PyPI,malicious,file,23,8209.2379370245,18822.608695652172,0.7979470237744085,0.5867126912761617
NPM,malicious,flags_path_sensitive,13,602.6435248998794,1.232201759631817,0.824966078697422,0.268485479405184
PyPI,malicious,flags_path_sensitive,13,3753.656610090058,8077.007486538462,0.6315624673833629,0.43173877309844017
NPM,malicious,network,18,45.04248570892908,12.558134569062126,0.8842906678727575,0.474637664182558
PyPI,malicious,network,18,200.96626628034792,56.769927888889164,0.48364239409015525,0.3574539879404529
NPM,malicious,other,33,2271.82015735759,64.12121212121212,0.8583528637802722,0.6135551091787799
PyPI,malicious,other,33,3259.0942254227784,7414.484848484848,0.6401463755602155,0.4879376578937886
NPM,malicious,permission,10,45.645407684033266,1.4021929979324341,0.8853459972862957,0.41672165885530177
PyPI,malicious,permission,10,21.039648298694278,47.66180309999909,0.5972862957937585,0.41680652066924584
NPM,malicious,process,20,447.0354512951403,11.85,0.6925373134328359,0.4216082599798123
PyPI,malicious,process,20,3272.088415624918,7537.5,0.48480325644504746,0.2414184670077002
NPM,malicious,ratios,12,51.43554725588297,24.217476496360902,1.0,0.9169373830425346
PyPI,malicious,ratios,12,9.574387244566795,0.05734623243878348,0.9526232473993668,0.8973298156024359
