experiment,fusion_type,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,total_error_mean,total_error_std,fp_mean,fn_mean,n_features_mean
NPM -> PyPI,percentile_rank_mean,0.783921302578019,0.02344308613609402,0.7880160893783102,0.027376672756432328,0.7774762550881954,0.018713849720106,0.7826363854249558,0.022051919132653648,318.5,34.55510896460255,154.5,164.0,97.0
NPM -> PyPI,source_zscore_mean,0.6279511533242876,0.08550214051675778,0.6077916786401629,0.11512797209961245,0.894708276797829,0.0991342225061984,0.7102355469569488,0.0319871393149358,548.4,126.03015512170093,470.8,77.6,97.0
NPM -> PyPI,raw_score_mean,0.5666892808683854,0.08180282297096145,0.5457812144929949,0.07134386354447514,0.9715061058344642,0.046327663599464046,0.6945170171158825,0.03684806559117612,638.7,120.57736105919719,617.7,21.0,97.0
NPM -> PyPI,source_platt_calibrated_mean,0.5581411126187246,0.08046528932748892,0.5461569178813017,0.08473552294937285,0.9548168249660787,0.08402763043783759,0.6864069846856868,0.02676238622826732,651.3,118.60583646871869,618.0,33.3,97.0
PyPI -> NPM,percentile_rank_mean,0.8930122116689281,0.015207273010034293,0.8978560957330247,0.01784746176099637,0.8871099050203528,0.015846731419979842,0.89239320073647,0.015116255476433499,157.7,22.415520416790585,74.5,83.2,97.0
PyPI -> NPM,source_zscore_mean,0.8193351424694708,0.007180142592874082,0.7440367886502639,0.01006426830465882,0.9740841248303935,0.007974833387929852,0.843582827996739,0.004761649107035133,266.3,10.583530181896347,247.2,19.1,97.0
PyPI -> NPM,raw_score_mean,0.8176390773405698,0.006865188950162034,0.7414349578746574,0.010271624843431752,0.9759837177747626,0.008142368866339254,0.8426068772670444,0.00421957388776677,268.8,10.11928851253881,251.1,17.7,97.0
PyPI -> NPM,source_platt_calibrated_mean,0.8087516960651289,0.026977235626703712,0.732712392635064,0.02860751979836886,0.9757123473541384,0.008227343709863217,0.8365432118895596,0.017603853281401103,281.9,39.76444531376128,264.0,17.9,97.0
