direction,seed,selected_rank,feature
PyPI -> NPM,0,33,permission_syscall_count
PyPI -> NPM,0,34,unique_syscalls
PyPI -> NPM,0,35,early_network_count
PyPI -> NPM,0,36,max_syscalls_in_one_process
PyPI -> NPM,0,37,early_memory_count
PyPI -> NPM,0,38,openat_count
PyPI -> NPM,0,39,read_count
PyPI -> NPM,0,40,futex_count
PyPI -> NPM,0,41,mprotect_count
PyPI -> NPM,0,42,process_syscall_count
PyPI -> NPM,0,43,first_chmod_offset
PyPI -> NPM,0,44,getrandom_count
PyPI -> NPM,0,45,network_syscall_count
PyPI -> NPM,0,46,recvfrom_count
PyPI -> NPM,0,47,bind_count
PyPI -> NPM,0,48,failed_open_count
PyPI -> NPM,0,49,exec_shell_count
PyPI -> NPM,0,50,socket_count
PyPI -> NPM,0,51,early_process_count
PyPI -> NPM,0,52,early_connect_count
PyPI -> NPM,0,53,error_unique_count
PyPI -> NPM,0,54,ENETUNREACH_count
PyPI -> NPM,0,55,first_connect_offset
PyPI -> NPM,0,56,wait4_count
PyPI -> NPM,0,57,connect_unix_socket_count
PyPI -> NPM,0,58,exec_remote_tool_count
PyPI -> NPM,0,59,clone_count
PyPI -> NPM,0,60,connect_ipv4_count
PyPI -> NPM,0,61,faccessat_count
PyPI -> NPM,0,62,port_443_count
PyPI -> NPM,0,63,ENOTDIR_count
PyPI -> NPM,0,64,sensitive_path_count
PyPI -> NPM,0,65,sequence_truncated
PyPI -> NPM,0,66,failed_execve_count
PyPI -> NPM,0,67,execve_count
PyPI -> NPM,0,68,shell_plus_network
PyPI -> NPM,0,69,readlinkat_count
PyPI -> NPM,0,70,late_file_count
PyPI -> NPM,0,71,failed_connect_ratio
PyPI -> NPM,0,72,EINVAL_count
PyPI -> NPM,0,73,port_80_count
PyPI -> NPM,0,74,uses_curl_shell_pattern
PyPI -> NPM,0,75,EACCES_count
PyPI -> NPM,0,76,late_process_count
PyPI -> NPM,0,77,exec_downloader_count
PyPI -> NPM,0,78,middle_other_count
PyPI -> NPM,0,79,middle_execve_count
PyPI -> NPM,0,80,sendto_count
PyPI -> NPM,0,81,uses_wget_shell_pattern
PyPI -> NPM,0,82,touched_ssh
PyPI -> NPM,0,83,uses_base64_keyword
PyPI -> NPM,0,84,late_write_count
PyPI -> NPM,0,85,touched_env_file
PyPI -> NPM,0,86,late_permission_count
PyPI -> NPM,0,87,middle_write_count
PyPI -> NPM,0,88,late_chmod_count
PyPI -> NPM,0,89,middle_permission_count
PyPI -> NPM,0,90,late_execve_count
PyPI -> NPM,0,91,middle_process_count
PyPI -> NPM,0,92,late_other_count
PyPI -> NPM,0,93,tmp_exec_count
PyPI -> NPM,0,94,middle_network_count
PyPI -> NPM,0,95,late_memory_count
PyPI -> NPM,0,96,middle_connect_count
PyPI -> NPM,0,97,middle_chmod_count
NPM -> PyPI,1,1,error_unique_count
NPM -> PyPI,1,2,connect_unix_socket_count
NPM -> PyPI,1,3,exec_ratio
NPM -> PyPI,1,4,process_ratio
NPM -> PyPI,1,5,exec_shell_count
NPM -> PyPI,1,6,failed_execve_count
NPM -> PyPI,1,7,memory_ratio
NPM -> PyPI,1,8,permission_ratio
NPM -> PyPI,1,9,tmp_write_open_count
NPM -> PyPI,1,10,write_open_count
NPM -> PyPI,1,11,memory_syscall_count
NPM -> PyPI,1,12,execve_count
NPM -> PyPI,1,13,late_chmod_count
NPM -> PyPI,1,14,late_other_count
NPM -> PyPI,1,15,late_execve_count
NPM -> PyPI,1,16,late_memory_count
NPM -> PyPI,1,17,middle_connect_count
NPM -> PyPI,1,18,write_count
NPM -> PyPI,1,19,mkdirat_count
NPM -> PyPI,1,20,readlinkat_count
NPM -> PyPI,1,21,late_file_count
NPM -> PyPI,1,22,process_syscall_count
NPM -> PyPI,1,23,chmod_path_count
NPM -> PyPI,1,24,permission_syscall_count
NPM -> PyPI,1,25,uses_curl_shell_pattern
NPM -> PyPI,1,26,num_processes_with_shell
NPM -> PyPI,1,27,total_syscalls
NPM -> PyPI,1,28,sensitive_path_count
NPM -> PyPI,1,29,tmp_chmod_count
NPM -> PyPI,1,30,first_connect_offset
NPM -> PyPI,1,31,early_other_count
NPM -> PyPI,1,32,failed_open_count
NPM -> PyPI,1,33,port_80_count
NPM -> PyPI,1,34,fchmodat_count
NPM -> PyPI,1,35,EEXIST_count
NPM -> PyPI,1,36,sequence_token_count
NPM -> PyPI,1,37,file_syscall_count
NPM -> PyPI,1,38,max_syscalls_in_one_process
NPM -> PyPI,1,39,late_permission_count
NPM -> PyPI,1,40,hidden_path_count
NPM -> PyPI,1,41,exec_downloader_count
NPM -> PyPI,1,42,unlinkat_count
NPM -> PyPI,1,43,futex_count
NPM -> PyPI,1,44,path_total_count
NPM -> PyPI,1,45,early_write_count
NPM -> PyPI,1,46,touched_env_file
NPM -> PyPI,1,47,failed_syscall_count
NPM -> PyPI,1,48,early_chmod_count
NPM -> PyPI,1,49,middle_execve_count
NPM -> PyPI,1,50,recvfrom_count
NPM -> PyPI,1,51,uses_base64_keyword
NPM -> PyPI,1,52,middle_chmod_count
NPM -> PyPI,1,53,mprotect_count
NPM -> PyPI,1,54,touched_ssh
NPM -> PyPI,1,55,middle_permission_count
NPM -> PyPI,1,56,uses_wget_shell_pattern
NPM -> PyPI,1,57,middle_network_count
NPM -> PyPI,1,58,ENOTDIR_count
NPM -> PyPI,1,59,EACCES_count
NPM -> PyPI,1,60,early_permission_count
