registry,class_subset,n_samples,pairwise_distance_mean,pairwise_distance_median,pairwise_distance_std,pairwise_distance_iqr
NPM,all,500,143.16999274123657,15.054337770107761,361.65850750638987,35.42831633092988
NPM,benign,500,216.92839951338394,9.621403625526817,405.4683603443824,27.290214925355944
NPM,malicious,500,2298.8044039589604,60.12386435056674,7775.098898917917,201.58273797339052
PyPI,all,500,42592654097.17763,25.450872712138015,191899077113.2583,524697.2124095841
PyPI,benign,500,178373100576.08414,25.316205158017787,562682241443.9695,142.79299837479684
PyPI,malicious,500,10449.968479999903,7.7936037281086055,122507.66833364307,8.418485958344007
