registry,class_subset,mean_feature_std,median_feature_std,mean_feature_iqr,median_feature_iqr,mean_nonzero_rate,mean_entropy_q10,median_entropy_q10
NPM,all,1463.7655637634664,65.35937723644248,343.90099996080784,11.0,0.8358156364057092,0.6336492063802462,0.7133404108172334
NPM,benign,1692.8124058137598,44.53257891486612,1134.6311093817014,18.0,0.8059070398535862,0.6289400462103097,0.7915928264065143
NPM,malicious,994.9021559847117,47.467618030044996,36.8891216515813,1.0,0.8657242329578324,0.5500732245366763,0.5645946114174798
PyPI,all,2638.3622086248683,18.343110047924057,2330.1283962924326,5.0,0.6410074363909838,0.510688492710555,0.4470170437440775
PyPI,benign,1462.084660578863,12.066250250786116,1225.751905491809,5.0,0.63477538312665,0.492131140095891,0.4083140152014954
PyPI,malicious,3213.523784163971,19.58823296996155,7246.885753587514,12.0,0.6472394896553175,0.4760271533110877,0.44999185237953726
