direction,method,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,tn_mean,fp_mean,fn_mean,tp_mean,total_error_mean
NPM -> PyPI,Top5_RankFusion,0.783921302578019,0.02344308613609402,0.7880160893783102,0.027376672756432328,0.7774762550881954,0.018713849720106,0.7826363854249558,0.022051919132653648,582.5,154.5,164.0,573.0,318.5
PyPI -> NPM,ExtraTrees_MeanStd,0.9394165535956581,0.0028792062022436273,0.9951421366223924,0.004320667823833801,0.8831750339213025,0.006961355100251428,0.9357962504497322,0.0032732423442379463,733.8,3.2,86.1,650.9,89.3
