experiment,model,seed,alignment,source_threshold,source_oof_f1,accuracy,balanced_accuracy,precision,malicious_recall,f1,auc,tn,fp,fn,tp,total_error,threshold
PyPI -> NPM,LinearSVM,99,source_threshold_no_alignment,0.79,0.7181286549707603,0.6105834464043419,0.6105834464043419,0.5646312450436162,0.966078697421981,0.7127127127127127,0.9211037448749836,188,549,25,712,574,0.79
PyPI -> NPM,RandomForest,99,source_threshold_no_alignment,0.49,0.9471516815374056,0.5508819538670285,0.5508819538670284,0.5273522975929978,0.9810040705563092,0.6859582542694497,0.9481883170799512,89,648,14,723,662,0.49
PyPI -> NPM,ExtraTrees,99,source_threshold_no_alignment,0.56,0.9541666666666668,0.9396200814111262,0.9396200814111262,0.9850299401197604,0.89280868385346,0.9366548042704628,0.958959366237764,727,10,79,658,89,0.56
PyPI -> NPM,HistGradientBoosting,99,source_threshold_no_alignment,0.7,0.947513812154696,0.6085481682496607,0.6085481682496607,0.6298701298701299,0.5264586160108549,0.573540280857354,0.813536855011976,509,228,349,388,577,0.7
PyPI -> NPM,XGBoost,99,source_threshold_no_alignment,0.5,0.945280437756498,0.8018995929443691,0.8018995929443691,0.7354497354497355,0.943012211668928,0.8263971462544589,0.9496896914220068,487,250,42,695,292,0.5
PyPI -> NPM,LightGBM,99,source_threshold_no_alignment,0.3,0.949221394719025,0.805291723202171,0.805291723202171,0.7429805615550756,0.9335142469470828,0.8274203247143717,0.9563736148417896,499,238,49,688,287,0.3
PyPI -> NPM,CatBoost,99,source_threshold_no_alignment,0.57,0.9486111111111112,0.6078697421981004,0.6078697421981004,0.9206349206349206,0.2360922659430122,0.3758099352051836,0.9511063775730942,722,15,563,174,578,0.57
PyPI -> NPM,LogisticRegression,123,source_threshold_no_alignment,0.53,0.8503401360544217,0.5027137042062415,0.5027137042062415,0.501360544217687,1.0,0.6678749433620299,0.502732114682539,4,733,0,737,733,0.53
PyPI -> NPM,LinearSVM,123,source_threshold_no_alignment,0.51,0.7018235584031542,0.5149253731343284,0.5149253731343284,0.5076495132127955,0.9905020352781548,0.671264367816092,0.9211037448749836,29,708,7,730,715,0.51
PyPI -> NPM,RandomForest,123,source_threshold_no_alignment,0.46,0.952316076294278,0.4952510176390773,0.4952510176390773,0.4976043805612594,0.9864314789687924,0.6615104640582348,0.9503745611402712,3,734,10,727,744,0.46
PyPI -> NPM,ExtraTrees,123,source_threshold_no_alignment,0.57,0.9571230982019364,0.9348710990502036,0.9348710990502036,0.9848714069591528,0.8833107191316146,0.9313304721030042,0.96364851455072,727,10,86,651,96,0.57
PyPI -> NPM,HistGradientBoosting,123,source_threshold_no_alignment,0.4,0.9542036910457964,0.6377204884667571,0.6377204884667571,0.6517189835575485,0.5915875169606513,0.620199146514936,0.813536855011976,504,233,301,436,534,0.4
PyPI -> NPM,XGBoost,123,source_threshold_no_alignment,0.3,0.953020134228188,0.8005427408412483,0.8005427408412483,0.723963599595551,0.971506105834464,0.8296639629200464,0.9487314261307254,464,273,21,716,294,0.3
PyPI -> NPM,LightGBM,123,source_threshold_no_alignment,0.25,0.9571136827773996,0.8100407055630936,0.8100407055630936,0.744908896034298,0.943012211668928,0.8323353293413174,0.9557955258860502,499,238,42,695,280,0.25
PyPI -> NPM,CatBoost,123,source_threshold_no_alignment,0.43,0.9521857923497268,0.8514246947082768,0.8514246947082769,0.7923250564334086,0.9525101763907734,0.8650646950092421,0.9655098137043904,553,184,35,702,219,0.43
