experiment,model,n_features,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,tn_mean,fp_mean,fn_mean,tp_mean
NPM -> PyPI,XGBoost,129,0.5188602442333786,0.03622764059491589,0.5109792888576029,0.022196052391359255,0.9902306648575305,0.02672535605003748,0.6734366420908631,0.01201286987601804,35.0,702.0,7.2,729.8
PyPI -> NPM,LightGBM,129,0.8848032564450475,0.053964896487414725,0.9095076573158221,0.11404320077409845,0.8778833107191316,0.03920548698827563,0.8874090778490391,0.04072668439229913,657.2,79.8,90.0,647.0
