package_name,registry,label,EACCES_count,EEXIST_count,EINVAL_count,ENETUNREACH_count,ENOENT_count,ENOTDIR_count,ETIMEDOUT_count,bind_count,brk_count,chmod_path_count,clone3_count,clone_count,close_count,connect_count,connect_ipv4_count,connect_ipv6_count,connect_unix_socket_count,early_chmod_count,early_connect_count,early_execve_count,early_file_count,early_memory_count,early_network_count,early_other_count,early_permission_count,early_process_count,early_write_count,error_unique_count,exec_downloader_count,exec_python_tool_count,exec_ratio,exec_remote_tool_count,exec_shell_count,execve_count,faccessat_count,failed_connect_count,failed_connect_ratio,failed_execve_count,failed_execve_ratio,failed_open_count,failed_open_ratio,failed_syscall_count,failed_syscall_ratio,fchmodat_count,file_ratio,file_syscall_count,first_chmod_offset,first_connect_offset,first_sensitive_path_offset,fstat_count,futex_count,getdents64_count,getrandom_count,hidden_path_count,home_path_count,late_chmod_count,late_execve_count,late_file_count,late_memory_count,late_other_count,late_permission_count,late_process_count,late_write_count,max_syscalls_in_one_process,memory_ratio,memory_syscall_count,middle_chmod_count,middle_connect_count,middle_execve_count,middle_file_count,middle_memory_count,middle_network_count,middle_other_count,middle_permission_count,middle_process_count,middle_write_count,mkdirat_count,mmap_count,mprotect_count,munmap_count,network_ratio,network_syscall_count,newfstatat_count,nonstandard_port_count,num_processes_with_connect,num_processes_with_shell,openat_count,path_total_count,permission_ratio,permission_syscall_count,port_443_count,port_80_count,process_ratio,process_syscall_count,read_count,readlinkat_count,recvfrom_count,recvmsg_count,renameat_count,sendto_count,sensitive_path_count,sequence_token_count,sequence_truncated,shell_plus_network,shell_plus_sensitive_path,socket_count,spawned_shell,statx_count,successful_connect_count,syscall_rate_per_second,tmp_chmod_count,tmp_exec_count,tmp_path_count,tmp_write_open_count,total_syscalls,touched_env_file,touched_git_config,touched_ssh,unique_ip_count,unique_port_count,unique_syscalls,unlinkat_count,uses_base64_keyword,uses_curl_shell_pattern,uses_wget_shell_pattern,wait4_count,write_count,write_open_count,write_ratio
dehydrate-0.3.7,pypi,0,0,33,3,0,706,0,0,1,194,12,0,21,1973,0,0,0,0,12,0,20,20365,1893,2,820,12,115,136,7,0,3,0.0008617346718945,0,0,20,15,0,0.0,5,0.25,103,0.0533126293995859,2176,0.0937567323021241,12,0.8775475031237882,20367,9.24112900000182,-1.0,4.015604000000167,2990,62,516,23,6270,7455,0,0,2,0,0,0,0,0,23209,0.0815631866948166,1893,0,0,0,0,0,0,0,0,0,0,52,943,276,479,8.617346718945237e-05,2,5984,0,0,0,1932,8133,0.0005170408031367,12,0,0,0.0049549743633935,115,2749,9,0,0,9,0,1,23209,0,0,0,1,0,0,0,1.145534220815787e-09,12,6,1104,47,23209,0,0,0,0,0,54,49,0,0,0,30,136,52,0.0058597957688827
capmonstercloudcliend-1.0.0,pypi,1,0,2239,184,20,8824,0,0,13,1328,64,9,93,13123,89,36,20,8,93,89,65,152537,11626,294,4666,121,860,3323,10,0,14,0.0003821056963141,0,0,65,55,36,0.4044943820224719,10,0.1538461538461538,2082,0.1462386738779237,21375,0.1256539885956146,93,0.8967315266592205,152543,18.55919600000197,9.021794000000227,3.958705999990343,18990,626,2982,116,27418,57898,0,0,6,0,0,0,0,3,170110,0.0683440126976662,11626,0,0,0,0,0,0,0,0,0,0,2720,5232,1248,3817,0.0017282934571747,294,42580,0,1,0,14237,61284,0.0007113044500617,121,48,0,0.0050555522896949,860,17862,212,16,24,1083,8,5,50000,1,0,0,52,0,0,53,0.0012681296959624,64,15,30288,2650,170110,0,0,0,5,2,73,3136,0,0,0,138,3326,2660,0.0195520545529363
discord_command-0.0.2,pypi,0,0,20,3,0,655,0,0,1,193,6,0,21,1825,0,0,0,0,6,0,20,18613,1622,2,744,6,115,88,7,0,3,0.0009476876421531,0,0,20,15,0,0.0,5,0.25,100,0.056148231330713,1976,0.0936315390447308,6,0.882060272934041,18615,8.561612000000025,-1.0,4.023748000000012,2743,48,508,23,5852,6837,0,0,2,0,0,0,0,0,21104,0.0768574677786201,1622,0,0,0,0,0,0,0,0,0,0,39,805,262,361,9.476876421531464e-05,2,5493,0,0,0,1781,7515,0.0002843062926459,6,0,0,0.0054492039423805,115,2485,9,0,0,4,0,1,21104,0,0,0,1,0,0,0,1.0416370414230654e-09,6,6,904,28,21104,0,0,0,0,0,54,36,0,0,0,30,88,33,0.0041698256254738
cattrs-24.1.1,pypi,0,0,1296,68,5,2984,0,0,4,316,28,5,38,5425,22,9,5,2,28,22,30,63910,3633,75,1247,50,297,1913,10,0,5,0.0004334383217268,0,0,30,24,9,0.4090909090909091,6,0.2,179,0.0350980392156862,8502,0.1228364203773803,28,0.9233970006068136,63912,17.160092000000077,9.681592000000364,4.050156000000243,7318,230,1126,40,10218,23557,0,0,2,0,0,0,0,0,69214,0.0524893807611176,3633,0,0,0,0,0,0,0,0,0,0,1589,1808,390,1117,0.001083595804317,75,16955,0,1,0,5100,24932,0.000722397202878,50,12,0,0.0042910393850955,297,6511,76,4,6,604,2,2,50000,1,0,0,14,0,0,13,3.4162180720991643e-09,28,6,13291,1602,69214,0,0,0,5,2,69,1773,0,0,0,56,1913,1608,0.0276389169821134
bitcoilib-0.1,pypi,1,0,9,3,0,620,0,0,1,192,5,0,21,1753,0,0,0,0,5,0,20,17925,1838,2,721,5,115,75,7,0,3,0.0009704968944099,0,0,20,15,0,0.0,5,0.25,100,0.0585137507314218,1899,0.0921486801242236,5,0.8699048913043478,17927,8.489495999994688,-1.0,3.937520999999833,2658,48,422,23,5721,6561,0,0,2,0,0,0,0,0,20608,0.0891886645962733,1838,0,0,0,0,0,0,0,0,0,0,28,913,262,470,9.704968944099378e-05,2,5266,0,0,0,1709,7230,0.0002426242236024,5,0,0,0.0055803571428571,115,2440,9,0,0,3,0,1,20608,0,0,0,1,0,0,0,1.017155810958584e-09,5,6,765,18,20608,0,0,0,0,0,54,31,0,0,0,30,75,23,0.0036393633540372
1inch-8.9,pypi,1,0,18,19,0,619,0,0,1,194,5,0,23,1823,0,0,0,0,5,0,22,18476,1731,2,814,5,127,92,7,0,3,0.0010398449685683,0,2,22,17,0,0.0,5,0.2272727272727272,101,0.0574843483210017,1958,0.0925462022025807,5,0.873375242236612,18478,8.391599000009592,-1.0,3.9135970000061207,2722,48,462,25,5733,6744,0,0,2,0,0,0,0,0,21157,0.0818168927541712,1731,0,0,0,0,0,0,0,0,0,0,37,857,270,409,9.453136077893842e-05,2,5406,0,0,1,1757,7433,0.0002363284019473,5,0,0,0.0060027414094625,127,2496,25,0,0,3,0,1,21157,0,0,1,1,1,0,0,1.044252983330407e-09,5,6,926,25,21157,0,0,0,0,0,54,34,0,0,0,32,92,30,0.0043484425958311
disscord-py-0.1,pypi,1,0,9,3,0,645,0,0,1,200,5,0,21,1785,0,0,0,0,5,0,20,18189,1839,2,721,5,115,75,7,0,3,0.0009581756335936,0,0,20,15,0,0.0,5,0.25,100,0.0574382538770821,1927,0.092320222296747,5,0.8715086475350932,18191,8.579549999994924,-1.0,3.956259999991744,2692,48,482,23,5848,6689,0,0,2,0,0,0,0,0,20873,0.0881042495089349,1839,0,0,0,0,0,0,0,0,0,0,28,911,262,465,9.581756335936378e-05,2,5362,0,0,0,1741,7357,0.0002395439083984,5,0,0,0.0055095098931634,115,2444,9,0,0,3,0,1,20873,0,0,0,1,0,0,0,1.030235502593097e-09,5,6,766,18,20873,0,0,0,0,0,54,31,0,0,0,30,75,23,0.0035931586259761
colorama-py-0.6,pypi,1,0,19,3,0,605,0,0,1,189,5,0,21,1730,0,0,0,0,5,0,20,17579,1645,2,715,5,115,75,7,0,3,0.0009968598913422,0,0,20,15,0,0.0,5,0.25,100,0.0592066311426879,1867,0.093056870856801,5,0.876289687484424,17581,8.526892000008957,-1.0,4.191938000003574,2599,48,442,23,5634,6472,0,0,2,0,0,0,0,0,20063,0.0819917260629018,1645,0,0,0,0,0,0,0,0,0,0,33,816,260,379,9.968598913422718e-05,2,5182,0,0,0,1689,7141,0.0002492149728355,5,0,0,0.005731944375218,115,2361,9,0,0,1,0,1,20063,0,0,0,1,0,0,0,9.902560674340526e-10,5,6,765,26,20063,0,0,0,0,0,55,32,0,0,0,30,75,31,0.0037382245925335
color-names-1.2,pypi,0,0,28,3,0,616,44,0,1,184,4,0,21,1768,0,0,0,0,4,0,20,18035,1879,2,729,4,115,86,8,0,3,0.0009631127805065,0,0,20,15,0,0.0,5,0.25,144,0.0813559322033898,1944,0.0936145622652412,4,0.8685832610998748,18037,8.497035000000324,-1.0,4.045959000002767,2640,48,492,23,5636,6579,0,0,2,0,0,0,0,0,20766,0.0904844457285948,1879,0,0,0,0,0,0,0,0,0,0,43,936,260,498,9.631127805065972e-05,2,5337,0,0,0,1770,7256,0.0001926225561013,4,0,0,0.0055378984879129,115,2387,9,0,0,1,0,1,20766,0,0,0,1,0,0,0,1.0249542671593067e-09,4,6,862,34,20766,0,0,0,0,0,55,42,0,0,0,30,86,39,0.0041413849561783
crryptocompare-0.1,pypi,1,0,9,3,0,643,0,0,1,201,5,0,21,1785,0,0,0,0,5,0,20,18187,1809,2,721,5,115,75,7,0,3,0.0009596468499592,0,0,20,15,0,0.0,5,0.25,100,0.0574382538770821,1924,0.0923180269660764,5,0.8727508276954081,18189,8.692252000000735,-1.0,4.0120869999955175,2692,48,482,23,5848,6688,0,0,2,0,0,0,0,0,20841,0.086800057578811,1809,0,0,0,0,0,0,0,0,0,0,28,894,262,451,9.59646849959215e-05,2,5360,0,0,0,1741,7356,0.0002399117124898,5,0,0,0.0055179693872654,115,2444,9,0,0,3,0,1,20841,0,0,0,1,0,0,0,1.0286560662102403e-09,5,6,765,18,20841,0,0,0,0,0,54,31,0,0,0,30,75,23,0.003598675687347
